Episode,Rating,Votes
S12E18,8.6,1956
S12E19,7.2,1269
S12E20,7.2,1190
S12E21,7.0,1240
S13E01,7.5,1546
S13E02,7.0,1232
S13E03,7.1,1227
S13E04,7.0,1171
S13E05,7.6,1311
S13E06,7.1,1286
S13E07,6.8,1159
S13E08,6.9,1154
S13E09,7.2,1196
S13E10,7.3,1231
S13E11,7.0,1122
S13E12,6.4,1178
S13E13,6.4,1123
S13E14,7.1,1153
S13E15,7.0,1190
S13E16,7.7,1335
S13E17,5.4,1284
S13E18,7.7,1281
S13E19,6.7,1079
S13E20,7.1,1106
S13E21,7.0,1143
S13E22,7.8,1346
S14E01,7.6,1435
S14E02,7.3,1279
S14E03,7.1,1177
S14E04,7.0,1226
S14E05,6.7,1133
S14E06,7.3,1189
S14E07,7.0,1161
S14E08,7.2,1143
S14E09,6.7,1166
S14E10,6.7,1055
S14E11,6.6,1170
S14E12,7.2,1108
S14E13,6.9,1105
S14E14,6.7,1044
S14E15,7.1,1007
S14E16,7.1,1019
S14E17,7.1,1141
S14E18,6.9,1154
S14E19,6.6,1051
S14E20,6.7,1018
S14E21,6.6,1076
S14E22,7.7,1302
S15E01,7.5,1411
S15E02,7.3,1136
S15E03,6.9,1160
S15E04,7.0,1226
S15E05,7.0,1088
S15E06,6.4,1049
S15E07,7.0,1089
S15E08,6.6,1050
S15E09,7.3,1143
S15E10,7.1,1094
S15E11,7.0,1069
S15E12,7.2,1082
S15E13,7.1,1090
S15E14,6.7,1033
S15E15,6.6,1038
S15E16,7.0,1102
S15E17,6.6,1053
S15E18,7.0,1111
S15E19,7.3,1134
S15E20,7.2,1106
S15E21,6.2,1110
S15E22,7.2,1031
S16E01,7.4,1297
S16E02,6.8,1040
S16E03,7.1,1075
S16E04,6.4,1041
S16E05,7.0,992
S16E06,7.1,1019
S16E07,6.8,974
S16E08,6.1,1042
S16E09,6.5,1069
S16E10,6.8,1058
S16E11,6.6,1047
S16E12,6.9,1054
S16E13,6.7,989
S16E14,6.7,974
S16E15,7.2,1122
S16E16,7.4,1172
S16E17,7.1,1041
S16E18,6.6,995
S16E19,7.2,1038
S16E20,7.0,989
S16E21,7.2,1116
S17E01,6.1,1125
S17E02,6.8,1061
S17E03,6.9,999
S17E04,7.3,1241
S17E05,6.9,1028
S17E06,6.8,994
S17E07,6.6,1008
S17E08,7.0,1224
S17E09,6.8,1008
S17E10,6.6,1001
S17E11,6.9,979
S17E12,6.4,1044
S17E13,7.6,1198
S17E14,6.9,1010
S17E15,6.4,1328
S17E16,6.3,1003
S17E17,7.1,1139
S17E18,6.7,984
S17E19,7.1,1095
S17E20,6.6,1005
S17E21,7.0,1064
S17E22,6.3,1032
S18E01,7.5,1299
S18E02,6.6,1189
S18E03,6.6,1089
S18E04,6.8,1309
S18E05,6.6,1116
S18E06,6.6,1063
S18E07,6.9,1065
S18E08,7.1,1044
S18E09,6.1,1108
S18E10,6.5,1063
S18E11,6.9,1033
S18E12,6.7,1138
S18E13,7.2,1110
S18E14,6.8,1086
S18E15,6.1,1049
S18E16,7.0,1072
S18E17,7.2,1185
S18E18,5.8,1111
S18E19,6.9,980
S18E20,6.7,991
S18E21,8.1,1847
S18E22,7.1,1154
S19E01,6.6,1131
S19E02,7.3,12
S19E03,7.1,1074
S19E04,6.7,1036
S19E05,6.9,1185
S19E06,6.5,993
S19E07,6.9,1152
S19E08,7.1,1139
S19E09,8.2,1611
S19E10,6.8,1039
S19E11,6.1,1606
S19E12,6.5,1070
S19E13,7.3,6
S19E14,7.3,1104
S19E15,6.6,1004
S19E16,5.9,981
S19E17,6.7,1022
S19E18,7.7,7
S19E19,7.0,1041
S19E20,6.3,947
S20E01,7.2,1272
S20E02,6.8,1120
S20E03,6.8,1081
S20E04,7.1,1296
S20E05,6.5,1021
S20E06,7.0,1028
S20E07,7.0,1185
S20E08,6.5,1026
S20E09,5.9,1161
S20E10,6.9,981
S20E11,6.9,985
S20E12,6.7,969
S20E13,7.1,1122
S20E14,6.3,1027
S20E15,6.6,936
S20E16,7.1,1021
S20E17,7.1,1038
S20E18,6.9,964
S20E19,7.1,1054
S20E20,6.3,985
S20E21,7.2,1094
S21E01,7.0,1169
S21E02,6.6,1020
S21E03,6.1,934
S21E04,7.3,1193
S21E05,6.6,918
S21E06,6.6,899
S21E07,6.7,908
S21E08,7.1,963
S21E09,6.6,842
S21E10,6.5,900
S21E11,7.0,898
S21E12,6.8,926
S21E13,6.4,901
S21E14,6.9,839
S21E15,6.9,938
S21E16,5.6,1131
S21E17,6.5,841
S21E18,6.8,842
S21E19,6.8,867
S21E20,7.1,912
S21E21,6.9,865
S21E22,7.2,981
S21E23,6.4,890
S22E01,6.0,1097
S22E02,6.7,859
S22E03,6.7,921
S22E04,7.0,1151
S22E05,7.1,881
S22E06,6.3,831
S22E07,6.2,841
S22E08,6.7,925
S22E09,6.9,904
S22E10,6.1,812
S22E11,6.6,887
S22E12,6.9,827
S22E13,6.7,821
S22E14,7.1,979
S22E15,6.6,862
S22E16,5.9,833
S22E17,6.1,847
S22E18,6.8,855
S22E19,6.4,845
S22E20,7.0,847
S22E21,7.1,917
S22E22,6.9,905
S23E01,7.0,1107
S23E02,7.0,945
S23E03,6.4,1123
S23E04,6.4,825
S23E05,7.0,930
S23E06,7.9,1261
S23E07,6.6,812
S23E08,6.0,791
S23E09,8.2,1595
S23E10,5.9,907
S23E11,6.9,936
S23E12,5.6,970
S23E13,6.2,810
S23E14,6.9,953
S23E15,6.8,785
S23E16,7.2,971
S23E17,6.9,897
S23E18,7.0,850
S23E19,7.5,1076
S23E20,6.7,724
S23E21,6.5,795
S23E22,3.9,2298
S24E01,6.3,1010
S24E02,7.2,1079
S24E03,6.8,805
S24E04,6.6,759
S24E05,6.2,756
S24E06,6.2,773
S24E07,6.9,895
S24E08,7.1,791
S24E09,6.6,735
S24E10,6.9,741
S24E11,6.4,739
S24E12,6.1,814
S24E13,6.9,771
S24E14,6.1,793
S24E15,6.8,788
S24E16,7.0,798
S24E17,6.3,755
S24E18,6.3,739
S24E19,6.7,689
S24E20,6.1,749
S24E21,7.0,848
S24E22,6.8,765
S25E01,6.8,1064
S25E02,6.9,1117
S25E03,6.3,842
S25E04,6.4,856
S25E05,6.8,800
S25E06,6.3,841
S25E07,6.7,831
S25E08,6.4,803
S25E09,7.7,1165
S25E10,6.9,887
S25E11,7.1,833
S25E12,6.2,845
S25E13,6.6,872
S25E14,6.6,796
S25E15,6.8,783
S25E16,6.7,816
S25E17,6.3,798
S25E18,6.8,946
S25E19,5.6,814
S25E20,7.9,1311
S25E21,6.5,778
S25E22,6.5,773
S26E01,5.6,1084
S26E02,6.8,877
S26E03,6.4,837
S26E04,7.4,1176
S26E05,6.1,803
S26E06,7.9,1663
S26E07,6.8,865
S26E08,6.3,804
S26E09,6.7,797
S26E10,6.6,990
S26E11,7.1,855
S26E12,5.6,885
S26E13,6.2,741
S26E14,6.5,708
S26E15,6.4,721
S26E16,6.6,751
S26E17,6.5,716
S26E18,6.5,673
S26E19,6.7,683
S26E20,5.9,691
S26E21,6.5,680
S26E22,6.8,732
S27E01,5.5,1026
S27E02,6.6,847
S27E03,7.0,838
S27E04,7.6,1131
S27E05,6.6,910
S27E06,6.6,736
S27E07,5.8,738
S27E08,6.8,720
S27E09,8.4,1662
S27E10,6.5,801
S27E11,6.5,754
S27E12,6.5,706
S27E13,6.3,665
S27E14,6.5,767
S27E15,6.4,688
S27E16,7.1,732
S27E17,6.3,665
S27E18,6.2,634
S27E19,7.1,718
S27E20,6.7,626
S27E21,6.3,647
S27E22,6.7,662
S28E01,6.0,776
S28E02,6.5,720
S28E03,7.1,803
S28E04,6.8,891
S28E05,6.3,659
S28E06,6.7,659
S28E07,6.1,644
S28E08,6.6,624
S28E09,6.3,583
S28E10,5.8,619
S28E11,6.8,633
S28E12,6.2,798
S28E13,6.3,611
S28E14,6.4,601
S28E15,6.5,597
S28E16,6.5,649
S28E17,6.9,625
S28E18,6.1,640
S28E19,6.8,619
S28E20,6.1,562
S28E21,6.4,574
S29E01,6.8,975
S29E02,6.5,753
S29E03,6.1,675
S29E04,7.1,918
S29E05,6.3,639
S29E06,6.3,646
S29E07,6.3,633
S29E08,6.8,706
